,business_id,caption,label,photo_id,class_names_label,path,image
585,zrYpLdnGKA_EmOhgRCy_vg,from the Pomegranate Restaurant website,inside,_1af4uPGQTidhJ3wCtOg7g,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_1af4uPGQTidhJ3wCtOg7g.jpg,"[[[140 103  97]
  [144 107  99]
  [147 109 100]
  ...
  [174 126 103]
  [160 118  93]
  [151 118  87]]

 [[147 109  98]
  [146 108  95]
  [145 106  91]
  ...
  [109  98  78]
  [ 70  63  44]
  [ 47  42  23]]

 [[153 115  94]
  [149 111  88]
  [147 106  84]
  ...
  [ 40  50  41]
  [ 29  34  30]
  [ 17  18  20]]

 ...

 [[ 44  24  26]
  [ 44  25  27]
  [ 34  18  21]
  ...
  [ 60  45  52]
  [ 55  44  50]
  [ 43  37  41]]

 [[ 41  15  16]
  [ 43  19  19]
  [ 37  17  16]
  ...
  [ 28  14  14]
  [ 34  24  23]
  [ 34  29  26]]

 [[ 48  20  17]
  [ 46  20  19]
  [ 41  17  15]
  ...
  [ 26  10  11]
  [ 42  31  29]
  [ 54  47  41]]]"
603,rW5N-fiNhqb-fR3bGqyPdg,Happy Hour,inside,_71mpwyVhl8lQLpbNGW9-g,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_71mpwyVhl8lQLpbNGW9-g.jpg,"[[[ 48  72  40]
  [ 51  74  46]
  [ 52  79  46]
  ...
  [ 29  29  19]
  [ 88  90  77]
  [ 92  96  81]]

 [[ 50  75  36]
  [ 52  78  43]
  [ 55  83  45]
  ...
  [ 76  76  64]
  [ 96  98  85]
  [ 83  87  72]]

 [[ 50  77  36]
  [ 53  79  42]
  [ 55  86  44]
  ...
  [120 123 106]
  [106 110  95]
  [ 85  92  76]]

 ...

 [[ 16  33  49]
  [ 18  25  18]
  [ 32  26   0]
  ...
  [ 18  17  12]
  [ 18  20  15]
  [ 14  24  16]]

 [[  7  20  52]
  [ 21  24  31]
  [ 26  18   0]
  ...
  [ 14  15  10]
  [ 13  18  11]
  [ 13  21  10]]

 [[ 11  20  37]
  [ 23  25  24]
  [ 23  13   0]
  ...
  [ 12  13   8]
  [ 13  16   7]
  [ 11  19   4]]]"
791,qcWaROXNmCd3JmOb7H78vg,,outside,_5WmZElVXU9NDphX-DbaEQ,4,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_5WmZElVXU9NDphX-DbaEQ.jpg,"[[[ 11  10   8]
  [ 22  21  19]
  [ 24  23  21]
  ...
  [  7   6  11]
  [ 15  14  20]
  [ 37  36  44]]

 [[101 100  98]
  [ 22  21  19]
  [  2   1   0]
  ...
  [  7   6  11]
  [ 14  13  19]
  [ 35  34  42]]

 [[ 41  40  38]
  [ 20  19  17]
  [ 22  18  17]
  ...
  [  8   8  10]
  [ 14  13  19]
  [ 34  33  41]]

 ...

 [[ 25  20  17]
  [ 25  20  17]
  [ 27  19  17]
  ...
  [ 11  11   9]
  [ 11  11   9]
  [ 10  10   8]]

 [[ 22  18  17]
  [ 23  17  17]
  [ 23  18  15]
  ...
  [ 13  12  10]
  [ 18  17  15]
  [ 21  21  19]]

 [[ 17  13  12]
  [ 17  13  12]
  [ 17  13  12]
  ...
  [ 19  18  16]
  [ 30  29  27]
  [ 40  39  37]]]"
951,925GiWzJ_cxQaUT870xW7A,Low ceilings and dim lighting create cozy nooks throughout the space.,inside,_bExrYYDhw0UgLhwFLPZqg,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_bExrYYDhw0UgLhwFLPZqg.jpg,"[[[50 46 37]
  [58 54 45]
  [62 58 49]
  ...
  [31 24 16]
  [34 27 19]
  [36 29 21]]

 [[41 37 28]
  [49 45 36]
  [58 54 45]
  ...
  [37 30 22]
  [34 27 19]
  [31 24 16]]

 [[47 43 34]
  [46 42 33]
  [49 45 36]
  ...
  [36 29 21]
  [34 27 19]
  [32 25 17]]

 ...

 [[ 6  5 10]
  [ 3  2  7]
  [ 2  1  6]
  ...
  [13  5  3]
  [19 11  9]
  [19 11  9]]

 [[ 3  2  7]
  [ 1  0  5]
  [ 2  2  4]
  ...
  [11  3  1]
  [17  9  7]
  [17  9  7]]

 [[ 0  0  2]
  [ 0  0  2]
  [ 2  2  4]
  ...
  [ 5  0  0]
  [14  6  4]
  [16  8  6]]]"
967,FDEm-c3NAXnTVtl-hgzAhA,,food,_1xPKWaF914GivX9fLTwTw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_1xPKWaF914GivX9fLTwTw.jpg,"[[[255 255 246]
  [255 255 250]
  [254 255 255]
  ...
  [253 253 253]
  [253 253 253]
  [255 255 255]]

 [[255 254 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [251 251 251]
  [251 251 251]]

 [[255 253 255]
  [255 254 255]
  [255 254 255]
  ...
  [161 161 161]
  [205 205 205]
  [252 252 252]]

 ...

 [[255 254 251]
  [255 254 251]
  [255 255 251]
  ...
  [163 163 163]
  [208 208 208]
  [250 248 249]]

 [[255 253 253]
  [255 254 251]
  [255 255 250]
  ...
  [251 249 250]
  [255 254 255]
  [255 254 255]]

 [[255 253 253]
  [255 254 251]
  [255 255 250]
  ...
  [255 254 255]
  [255 254 255]
  [254 252 253]]]"
1353,U9aA5H13y7t9xWnoQslV0Q,,inside,_0Fef7hwMwV1qEYTkCU21g,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_0Fef7hwMwV1qEYTkCU21g.jpg,"[[[ 0  5 11]
  [12  0 11]
  [21  0 12]
  ...
  [ 1  7 29]
  [ 4  6 19]
  [15  3  5]]

 [[ 0  0 17]
  [10  0  6]
  [15  0  0]
  ...
  [ 4 14  5]
  [ 3  6  0]
  [ 9  0  0]]

 [[10  0 17]
  [10  0  0]
  [13  3  0]
  ...
  [28 34  6]
  [16 19  0]
  [14  8  0]]

 ...

 [[26 12 11]
  [37 22 19]
  [44 26 22]
  ...
  [13  8  5]
  [15  5  4]
  [16  4  4]]

 [[23  2  7]
  [33 11 14]
  [39 14 17]
  ...
  [ 7  9  4]
  [ 9  8  4]
  [10  7  2]]

 [[16  4  8]
  [25 10 15]
  [27 11 14]
  ...
  [ 4 11  3]
  [ 6  9  2]
  [ 5  6  0]]]"
1373,3m2XZFVraCiqjgLxHi5MdA,"Dry Aged Beef & Maytag Blue Cheese Carpaccio with Arugula & Granny Smith Apple Salad, Candied Walnuts & Port Wine Drizzles",food,_aQOjUi1QsM6iNaLUL2M3A,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_aQOjUi1QsM6iNaLUL2M3A.jpg,"[[[228 220 217]
  [230 222 219]
  [230 222 219]
  ...
  [227 220 228]
  [227 217 225]
  [227 216 222]]

 [[230 220 218]
  [231 221 219]
  [231 221 219]
  ...
  [227 220 227]
  [228 219 224]
  [227 216 220]]

 [[232 221 219]
  [233 222 220]
  [233 221 221]
  ...
  [222 215 222]
  [223 214 219]
  [223 214 217]]

 ...

 [[239 210 194]
  [224 197 180]
  [204 183 166]
  ...
  [230 219 213]
  [202 191 187]
  [183 172 168]]

 [[229 203 188]
  [226 204 190]
  [218 201 185]
  ...
  [208 194 191]
  [175 161 158]
  [151 137 136]]

 [[219 202 192]
  [221 204 194]
  [217 200 190]
  ...
  [170 156 153]
  [140 126 125]
  [123 109 108]]]"
1441,f51YniULra1Fz01jwILh8Q,Paddy the Shuck Mutha!,food,p8xmTg-ZQH6FPHHCvUab9w,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/p8xmTg-ZQH6FPHHCvUab9w.jpg,"[[[ 50  22  11]
  [ 27  13   2]
  [  6   5   0]
  ...
  [ 42  29  13]
  [ 40  27  11]
  [ 42  29  13]]

 [[ 50  28  17]
  [ 74  37  28]
  [ 76  33  27]
  ...
  [ 76  64  48]
  [ 43  31  17]
  [ 50  38  24]]

 [[ 29  21  10]
  [ 73  10   5]
  [141  36  33]
  ...
  [ 58  46  32]
  [ 56  47  32]
  [ 61  49  35]]

 ...

 [[ 24  20   8]
  [ 26  20   8]
  [ 43  37  25]
  ...
  [ 69  43  28]
  [ 40  17   3]
  [ 44  21   7]]

 [[ 29  25  14]
  [ 22  18   7]
  [ 29  25  14]
  ...
  [ 64  38  23]
  [ 45  22   8]
  [ 56  33  19]]

 [[ 26  22  11]
  [ 16  12   1]
  [ 12   8   0]
  ...
  [ 54  31  15]
  [ 52  29  15]
  [ 80  54  41]]]"
1671,lYMi5G_OXm8-mL2alXb96Q,,inside,_62_XRCv_Z1-y26nxeUl1g,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_62_XRCv_Z1-y26nxeUl1g.jpg,"[[[  7  13   9]
  [ 11  11   9]
  [ 17   8   9]
  ...
  [ 11   9  12]
  [ 11   9  12]
  [ 10   8  11]]

 [[  1  10   5]
  [  4   9   5]
  [ 13   7   7]
  ...
  [ 11   9  12]
  [ 11   9  12]
  [ 10   8  11]]

 [[  1  14   7]
  [  6  12   8]
  [ 15  11  10]
  ...
  [ 11   9  10]
  [ 11   9  12]
  [ 11   9  12]]

 ...

 [[ 15  14  12]
  [ 12  13   8]
  [  2   3   0]
  ...
  [128 128 126]
  [ 92  94  93]
  [ 30  32  31]]

 [[  9   8   6]
  [ 16  15  13]
  [ 24  25  20]
  ...
  [120 120 120]
  [108 110 109]
  [ 68  70  69]]

 [[  8   6   7]
  [ 14  13  11]
  [ 49  49  47]
  ...
  [ 99  99  99]
  [105 107 106]
  [ 86  88  87]]]"
2326,PBEUEK39haiJhQzuW4tnYQ,Warm view from front dining room,outside,_1bwwC_IFDiQ9Vr1TqgDhQ,4,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_1bwwC_IFDiQ9Vr1TqgDhQ.jpg,"[[[19 18 24]
  [15 14 19]
  [25 24 29]
  ...
  [ 4  0  2]
  [ 2  4  3]
  [ 1  7  5]]

 [[16 15 20]
  [15 14 19]
  [25 24 29]
  ...
  [14  8 12]
  [ 6  8  7]
  [ 0  6  4]]

 [[12 11 16]
  [13 12 17]
  [20 20 22]
  ...
  [ 9  5  6]
  [ 0  5  1]
  [ 0  3  0]]

 ...

 [[44 23 18]
  [34 23 19]
  [64 60 57]
  ...
  [39 30 33]
  [14  9 13]
  [ 1  0  2]]

 [[87 62 55]
  [57 44 36]
  [48 43 37]
  ...
  [66 55 59]
  [38 32 36]
  [ 8  3  7]]

 [[60 36 26]
  [33 20 11]
  [12  5  0]
  ...
  [63 52 56]
  [54 45 50]
  [31 25 29]]]"
